datetime,portfolio_value,cash,return
2024-05-15 09:30:00-04:00,100000.0,100000.0,
2024-05-16 09:30:00-04:00,100040.49987792969,94741.69982910156,0.00040499877929689454
2024-05-17 09:30:00-04:00,100029.7998046875,94741.69982910156,-0.00010695741479949117
2024-05-18 09:30:00-04:00,100029.7998046875,94741.69982910156,0.0
2024-05-20 09:30:00-04:00,100037.39990234375,94741.69982910156,7.597833516692631e-05
2024-05-21 09:30:00-04:00,100034.50012207031,94741.69982910156,-2.8986961638999276e-05
2024-05-22 09:30:00-04:00,100048.20007324219,94741.69982910156,0.00013695226302079533
2024-05-23 09:30:00-04:00,100071.30004882812,94741.69982910156,0.00023088846744889757
2024-05-24 09:30:00-04:00,100020.19958496094,94741.69982910156,-0.0005106405517091295
2024-05-25 09:30:00-04:00,100020.19958496094,94741.69982910156,0.0
2024-05-28 09:30:00-04:00,100044.40002441406,94741.69982910156,0.00024195552052042046
2024-05-29 09:30:00-04:00,99998.49975585938,94741.69982910156,-0.00045879897868827957
